"Value","Description"
0,"DEAD, IN WATER"
1,"DEAD, STRANDED"
2,"DEAD, IN FISHING GEAR"
3,"KILLED BY WHALERS"
4,"STRANDED ALIVE & RESCUED"
5,"VISIBLE INJURY"
6,"FAST SWIMMING (>10 KNOTS)"
7,"MODERATE SWIMMING (1-10 KNOTS)"
8,"SLOW SWIMMING (<1 KNOT)"
9,"OBVIOUS SPEED CHANGE"
10,"APPARENTLY INFLUENCED BY PLATFORM"
11,"PORPOISING"
12,"RIDING VESSEL BOW WAVE"
13,"BREACH (WHALES)"
14,"AEROBATICS (DOLPHINS)"
15,"SWIMMING UPSIDE DOWN"
16,"SWIMMING ON SIDE"
17,"SWIMMING AT SURFACE"
18,"SWIMMING BELOW SURFACE"
19,"FLIPPERING"
20,"LOBTAILING, TAIL SLASHING"
21,"SPYHOPPING"
22,"MOTIONLESS AT SURFACE"
23,"DIVE, FLUKES NOT RAISED"
24,"DIVE, FLUKES RAISED"
25,"BLOW, MIST VISIBLE"
26,"BLOW, MIST NOT VISIBLE"
27,"UNAVAILABLE (respiration intervals recorded)"
28,"DIVE INTERVALS RECORDED"
29,"UNAVAILABLE (synchronous diving)"
30,"SWIMMING IN WAKE OF VESSEL"
34,"SWIMMING STEADILY IN ONE DIRECTION"
35,"CIRCULAR MOVEMENT"
36,"OBVIOUS CHANGE OF DIRECTION"
37,"DEFECATION"
38,"CLOSE (<1/2 MI) TO FISHING GEAR"
40,"MOTHER WITH YOUNG"
41,"APPARENT CALVING"
42,"APPARENT NURSING"
43,"PENIS OBSERVED"
44,"BODY CONTACT, NOT BELLY-TO-BELLY"
45,"RIDING WHALE BOW WAVE"
46,"UNAVAILABLE (synchronous swimming)"
47,"UNAVAILABLE (synchronous breathing)"
48,"UNAVAILABLE (shallow dive)"
50,"ASSOCIATED WITH SEAWEED"
51,"ASSOCIATED WITH OTHER CETACEANS"
52,"ASSOCIATED WITH PINNIPEDS"
53,"ASSOCIATED WITH BIRDS"
54,"APPARENT FEEDING"
55,"FEEDING ON FISHERY CATCH OR BY-CATCH"
56,"flying (birds)"
57,"sitting on the water (birds)"
58,"BUBBLES OBSERVED"
59,"ASSOCIATED WITH SMALL FISH"
60,"ASSOCIATED WITH LARGE FISH"
61,"ASSOCIATED WITH SQUID"
62,"ASSOCIATED WITH JELLYFISH"
63,"ASSOCIATED WITH VISIBLE ZOOPLANKTON"
64,"SHARK SCAVENGING"
65,"DISTINCT SUB-GROUPS"
66,"UNAVAILABLE (apparent cooperative behavior)"
67,"BELLY-TO-BELLY CONTACT"
68,"MOTIONLESS BELOW SURFACE"
69,"DIVING (TURTLES)"
70,"ON BEACH, NESTING OR OTHER (TURTLES)"
71,"FISHING/TRAWLING (FISHING VESSELS)"
72,"HAULING/SETTING GEAR (FISHING VESSELS)"
75,"HAULED OUT ON ICE (SEALS)"
76,"HAULED OUT ON BEACH (SEALS)"
77,"HAULED OUT ON ROCKS (SEALS)"
78,"MILLING"
79,"ASSOCIATED WITH PHYSICAL FEATURE"
80,"AUDIBLE SOUNDS PRODUCED"
81,"UNDERWATER SOUNDS RECORDED"
82,"APPARENT OIL AVOIDANCE"
83,"APPARENT OIL ATTRACTION"
84,"IN CONTACT WITH OIL"
85,"APPARENTLY NOT INFLUENCED BY OIL"
86,"CHANGE IN GROUP HEADING"
87,"CHANGE IN GROUP STRUCTURE"
88,"BIOPSY DARTED"
89,"TAGGED (ANY TYPE)"
90,"SURFACE-ACTIVE GROUP (RIGHT WHALES)"
91,"THRASHING, VIOLENT BEHAVIOR"
92,"TANGLED IN FISHING GEAR"
93,"ABNORMAL BEHAVIOR"
94,"UNCODEABLE BEHAVIOR"
97,"MUD ON ANIMAL"
98,"STRUCK BY VESSEL"
