Value,Description
0,"CETAP 1980 RIGHT WHALE SURVEYS (DUPLICATE NUMBERS USED FOR NOVA SCOTIA AND GREAT SOUTH CHANNEL/GEORGES BANK)"
1,"CETAP 1980 RIGHT WHALE SURVEYS (DUPLICATE NUMBERS USED FOR NOVA SCOTIA AND GREAT SOUTH CHANNEL/GEORGES BANK)"
2,"CETAP 1980 RIGHT WHALE SURVEYS (DUPLICATE NUMBERS USED FOR NOVA SCOTIA AND GREAT SOUTH CHANNEL/GEORGES BANK)"
3,"CETAP 1980 RIGHT WHALE SURVEYS (DUPLICATE NUMBERS USED FOR NOVA SCOTIA AND GREAT SOUTH CHANNEL/GEORGES BANK)"
4,"CETAP 1980 RIGHT WHALE SURVEYS (DUPLICATE NUMBERS USED FOR NOVA SCOTIA AND GREAT SOUTH CHANNEL/GEORGES BANK)"
5,"CETAP 1980 RIGHT WHALE SURVEYS (DUPLICATE NUMBERS USED FOR NOVA SCOTIA AND GREAT SOUTH CHANNEL/GEORGES BANK)"
6,"CETAP 1980 RIGHT WHALE SURVEYS (DUPLICATE NUMBERS USED FOR NOVA SCOTIA AND GREAT SOUTH CHANNEL/GEORGES BANK)"
7,"CETAP 1980 RIGHT WHALE SURVEYS (DUPLICATE NUMBERS USED FOR NOVA SCOTIA AND GREAT SOUTH CHANNEL/GEORGES BANK)"
A,"CETAP DEDICATED AERIAL SURVEYS"
B,"CETAP DEDICATED AERIAL SURVEYS"
C,"CETAP DEDICATED AERIAL SURVEYS"
CA,"Northeast Canyons and Seamounts Marine National Monument (canyon section) aerial surveys"
CM,"Coastal Maine aerial surveys, 2023+"
D,"CETAP DEDICATED AERIAL SURVEYS"
E,"CETAP DEDICATED AERIAL SURVEYS"
F,"CETAP DEDICATED AERIAL SURVEYS"
FL,"MMS SOUTHEAST SURVEYS, 1989-92, JACKSONVILLE BEACH TO MIAMI, FL; LINES PARALLEL TO BEACH "
G,"CETAP DEDICATED AERIAL SURVEYS"
GA,"MMS SOUTHEAST SURVEYS, 1989-92, SAVANNAH, GA TO JACKSONVILLE BEACH, FL; E-W LINES"
GS,"GREAT SOUTH CHANNEL RIGHT WHALE SURVEYS"
H,"CETAP DEDICATED AERIAL SURVEYS"
I,"CETAP DEDICATED AERIAL SURVEYS"
J,"CETAP DEDICATED AERIAL SURVEYS"
K,"CETAP DEDICATED AERIAL SURVEYS"
L,"CETAP DEDICATED AERIAL SURVEYS"
M,"CETAP DEDICATED AERIAL SURVEYS"
M2,"General survey block, 2017+ Massachusetts Clean Energy Center WEA aerial surveys (NLPSC extension)"
MC,"MUSKEGET CHANNEL SUB-BLOCK, 2011-15 MASSACHUSETTS CLEAN ENERGY CENTER (NLPSC) PROJECT"
ME,"Eastern block of condensed surveys, 2017+ Massachusetts Clean Energy Center WEA aerial surveys"
MN,"NOREIZ (NORTHEAST OFFSHORE RENEWABLE ENERGY INNOVATION ZONE) SUB-BLOCK, 2011-15 MASSACHUSETTS CLEAN ENERGY CENTER (NLPSC) PROJECT"
MV,"MARTHA’S VINEYARD BLOCK, 2011-15 MASSACHUSETTS CLEAN ENERGY CENTER (NLPSC) PROJECT"
MW,"Western block of condensed surveys, 2017+ Massachusetts Clean Energy Center WEA aerial surveys"
N,"CETAP DEDICATED AERIAL SURVEYS"
NB,"BROWNS/BACCARO BANK BLOCK ON SCOTIAN SHELF"
NE,"EMERALD BANK BLOCK ON SCOTIAN SHELF"
NO,"OFFSHORE BLOCK ON SCOTIAN SHELF"
O,"CETAP DEDICATED AERIAL SURVEYS"
OB,"UNC-WILMINGTON SHALLOW-WATER TRAINING RANGE SURVEYS, 1998-99, ONSLOW BAY"
P,"CETAP DEDICATED AERIAL SURVEYS"
Q,"CETAP DEDICATED AERIAL SURVEYS"
R,"CETAP DEDICATED AERIAL SURVEYS"
S,"CETAP DEDICATED AERIAL SURVEYS"
S0,"SOUTHEAST SURVEY BLOCKS 1-10 (SE TURTLE SURVEY BLOCKS EXTENDED AND STRATIFIED FOR MAMMAL SURVEYS)"
S1,"SOUTHEAST SURVEY BLOCKS 1-10 (SE TURTLE SURVEY BLOCKS EXTENDED AND STRATIFIED FOR MAMMAL SURVEYS)"
S2,"SOUTHEAST SURVEY BLOCKS 1-10 (SE TURTLE SURVEY BLOCKS EXTENDED AND STRATIFIED FOR MAMMAL SURVEYS)"
S3,"SOUTHEAST SURVEY BLOCKS 1-10 (SE TURTLE SURVEY BLOCKS EXTENDED AND STRATIFIED FOR MAMMAL SURVEYS)"
S4,"SOUTHEAST SURVEY BLOCKS 1-10 (SE TURTLE SURVEY BLOCKS EXTENDED AND STRATIFIED FOR MAMMAL SURVEYS)"
S5,"SOUTHEAST SURVEY BLOCKS 1-10 (SE TURTLE SURVEY BLOCKS EXTENDED AND STRATIFIED FOR MAMMAL SURVEYS)"
S6,"SOUTHEAST SURVEY BLOCKS 1-10 (SE TURTLE SURVEY BLOCKS EXTENDED AND STRATIFIED FOR MAMMAL SURVEYS)"
S7,"SOUTHEAST SURVEY BLOCKS 1-10 (SE TURTLE SURVEY BLOCKS EXTENDED AND STRATIFIED FOR MAMMAL SURVEYS)"
S8,"SOUTHEAST SURVEY BLOCKS 1-10 (SE TURTLE SURVEY BLOCKS EXTENDED AND STRATIFIED FOR MAMMAL SURVEYS)"
S9,"SOUTHEAST SURVEY BLOCKS 1-10 (SE TURTLE SURVEY BLOCKS EXTENDED AND STRATIFIED FOR MAMMAL SURVEYS)"
SE,"MMS SOUTHEAST SURVEYS, 1989-92, CAPE HATTERAS, NC TO SAVANNAH, GA"
W,"1985 GREAT SOUTH CHANNEL RIGHT WHALE SURVEYS"
WI,"UNCW SWTR SURVEYS, 1998-99, WALLOPS ISLAND"
