Value,Description
ASW,"ASSOCIATED SCIENTISTS AT WOODS HOLE"
CAM,"Clearwater Marine Aquarium Research Institute (formerly Sea-to-Shore Alliance)"
CAT,"Catalog (specialty datasets extracted from the photoID catalog)"
CCS,"PROVINCETOWN CENTER FOR COASTAL STUDIES"
CET,"CETACEAN & TURTLE ASSESSMENT PROGRAM"
CHS,"Cape Hatteras National Park Service"
CMA,"CLEARWATER MARINE AQUARIUM RESEARCH INSTITUTE"
CRS," C. Robert Shoop"
CSA,"CONTINENTAL SHELF ASSOCIATES"
CWI,"Canadian Whale Institute"
DAL,"DALHOUSIE UNIVERSITY"
DFO,"DEPT OF FISHERIES & OCEANS, CANADA"
ECE,"EAST COAST ECOSYSTEMS"
FFJ,"FACSFACJAX (NAVY JACKSONVILLE)"
FLA,"FLORIDA STATE AGENCIES"
FWW,"FUNDY WHALE-WATCHERS"
GEO,"GEORGIA STATE AGENCIES"
GMI,"GEO-MARINE, INC."
GMW,"GRAND MANAN WHALE & SEABIRD RESEARCH STATION"
GWO,"Guy W. Oliver, III"
HEH,"Herbert E. Hayes"
HEW,"Howard E. Winn"
IFA,"INTERNATIONAL FUND FOR ANIMAL WELFARE"
JGM,"James G. Mead"
LIT,"LITERATURE"
MAQ,"MYSTIC AQUARIUM"
MBO,"MANOMET BIRD OBSERVATORY"
MWR,"MASSACHUSETTS WATER RESOURCES AUTHORITY"
NEA,"NEW ENGLAND AQUARIUM"
NLP,"NORTHEAST LARGE PELAGICS SURVEY COLLABORATIVE"
NNE,"NMFS-NORTHEAST"
NSE,"NMFS-SOUTHEAST"
NYS,"NEW YORK STATE AGENCIES"
OGB,"Ollie G. Brazier"
OPB,"OFFSHORE PETROLEUM BOARD (NOVA SCOTIA)"
OTH,"OTHER (MISCELLANEOUS)"
RAR,"Richard A. Rowlett"
RFM,"RIVERHEAD FOUNDATION FOR MARINE RESEARCH & PRESERVATION"
SSA,"Sea to Shore Alliance (changed to Clearwater Marine Aquarium Research Institute)"
TXA,"Thomas A. Azarovitz"
UCG,"U.S. COAST GUARD"
UNC,"UNIV OF NORTH CAROLINA–WILMINGTON"
URI,"UNIVERSITY OF RHODE ISLAND"
VAM,"VIRGINIA AQUARIUM & MARINE SCIENCE CENTER"
WCN,"WHALE CENTER OF NEW ENGLAND	"
WDC,"WHALE & DOLPHIN CONSERVATION SOCIETY"
WHO,"WOODS HOLE OCEANOGRAPHIC INST."
WLT,"WILDLIFE TRUST (= ECOHEALTH ALLIANCE)"
