"Value","Description"
20,"ALERT - U.S. COAST GUARD VESSELS"
21,"VIGILANT - U.S. COAST GUARD VESSELS"
22,"UNIMAK - U.S. COAST GUARD VESSELS"
23,"VIGOROUS - U.S. COAST GUARD VESSELS"
24,"INGHAM - U.S. COAST GUARD VESSELS"
25,"ACTIVE - U.S. COAST GUARD VESSELS"
26,"TAMAROA - U.S. COAST GUARD VESSELS"
27,"TANEY - U.S. COAST GUARD VESSELS"
28,"CHILULA - U.S. COAST GUARD VESSELS"
29,"DECISIVE - U.S. COAST GUARD VESSELS"
30,"CHEROKEE - U.S. COAST GUARD VESSELS"
31,"DUANE - U.S. COAST GUARD VESSELS"
32,"SHERMAN - U.S. COAST GUARD VESSELS"
33,"RELIANCE - U.S. COAST GUARD VESSELS"
34,"JEFFERSON ISLAND - U.S. COAST GUARD VESSELS"
35,"JUNIPER - U.S. COAST GUARD VESSELS"
36,"HAMMERHEAD - U.S. COAST GUARD VESSELS"
37,"NORTHLAND - U.S. COAST GUARD VESSELS"
38,"GRAND ISLE - U.S. COAST GUARD VESSELS"
39,"CAMPBELL - U.S. COAST GUARD VESSELS"
40,"SHEARWATER - U.S. COAST GUARD VESSELS"
41,"COCHITO - U.S. COAST GUARD VESSELS"
42,"DEPENDABLE - U.S. COAST GUARD VESSELS"
43,"TYBEE - U.S. COAST GUARD VESSELS"
44,"SPENCER - U.S. COAST GUARD VESSELS"
45,"HOLLYHOCK - U.S. COAST GUARD VESSELS"
46,"DALLAS - U.S. COAST GUARD VESSELS"
47,"TAHOMA - U.S. COAST GUARD VESSELS"
48,"WILLOW - U.S. COAST GUARD VESSELS"
49,"SENECA - U.S. COAST GUARD VESSELS"
50,"CHINOOK - U.S. COAST GUARD VESSELS"
51,"MIGNON - U.S. COAST GUARD VESSELS"
52,"ESCANABA - U.S. COAST GUARD VESSELS"
53,"LEGARE - U.S. COAST GUARD VESSELS"
54,"FINBACK - U.S. COAST GUARD VESSELS"
55,"TIGERSHARK - U.S. COAST GUARD VESSELS"
58,"USCG SMALL VESSEL - U.S. COAST GUARD VESSELS"
59,"UNID./OTHER USCG VESSEL - U.S. COAST GUARD VESSELS"
60,"ALBATROSS IV - NOAA VESSELS"
61,"GEORGE B. KELEZ - NOAA VESSELS"
62,"MT. MITCHELL - NOAA VESSELS"
63,"DELAWARE - NOAA VESSELS"
64,"ADVANCE - NOAA VESSELS"
65,"OREGON II - NOAA VESSELS"
66,"NANCY FOSTER - NOAA VESSELS"
67,"GORDON GUNTER - NOAA VESSELS"
68,"BIGELOW - NOAA VESSELS"
69,"GLORIA MICHELLE - NOAA VESSELS"
74,"MISC./MIXED NOAA VESSELS - NOAA VESSELS"
75,"WIECZNO - FOREIGN RESEARCH VESSELS"
76,"ANTON DOHRN - FOREIGN RESEARCH VESSELS"
77,"ARGUS - FOREIGN RESEARCH VESSELS"
78,"ALLIOT - FOREIGN RESEARCH VESSELS"
79,"BELAGORSK - FOREIGN RESEARCH VESSELS"
80,"EVRIKA - FOREIGN RESEARCH VESSELS"
90,"HENLOPEN - INSTITUTIONAL RESEARCH VESSELS"
91,"OCEANUS - INSTITUTIONAL RESEARCH VESSELS"
92,"ANNANDALE - INSTITUTIONAL RESEARCH VESSELS"
93,"ENDEAVOR - INSTITUTIONAL RESEARCH VESSELS"
94,"ALERT (EPA CHARTER) - INSTITUTIONAL RESEARCH VESSELS"
95,"CHALLENGE - INSTITUTIONAL RESEARCH VESSELS"
96,"BELUGA - INSTITUTIONAL RESEARCH VESSELS"
97,"JERE A. CHASE - INSTITUTIONAL RESEARCH VESSELS"
98,"TRIDENT - INSTITUTIONAL RESEARCH VESSELS"
99,"NEREID - INSTITUTIONAL RESEARCH VESSELS"
100,"HALOS - INSTITUTIONAL RESEARCH VESSELS"
101,"LAURI LEE - INSTITUTIONAL RESEARCH VESSELS"
102,"JOHN M. KINGSBURY (SML) - INSTITUTIONAL RESEARCH VESSELS"
103,"ARGO MAINE - INSTITUTIONAL RESEARCH VESSELS"
104,"SEWARD JOHNSON - INSTITUTIONAL RESEARCH VESSELS"
105,"INDIGO - INSTITUTIONAL RESEARCH VESSELS"
106,"LADY HAMMOND - INSTITUTIONAL RESEARCH VESSELS"
107,"SHEARWATER (PCCS) - INSTITUTIONAL RESEARCH VESSELS"
108,"GANNET (PCCS) - INSTITUTIONAL RESEARCH VESSELS"
109,"HANNAH T (PCCS/WHOI) - INSTITUTIONAL RESEARCH VESSELS"
110,"DIXIE (PCCS) - INSTITUTIONAL RESEARCH VESSELS"
111,"PELICAN - INSTITUTIONAL RESEARCH VESSELS"
112,"JOHN B HEISER (SML) - INSTITUTIONAL RESEARCH VESSELS"
113,"SILVER (WCNE) - INSTITUTIONAL RESEARCH VESSELS"
114,"GALATEA (NEA) - INSTITUTIONAL RESEARCH VESSELS"
115,"TIOGA (WHOI) - INSTITUTIONAL RESEARCH VESSELS"
116,"SHELAGH - INSTITUTIONAL RESEARCH VESSELS"
117,"CALLISTO - INSTITUTIONAL RESEARCH VESSELS"
118,"CONNECTICUT (UCONN) - INSTITUTIONAL RESEARCH VESSELS"
119,"SHACKLETON (PCCS) - INSTITUTIONAL RESEARCH VESSELS"
120,"IBIS (PCCS) - INSTITUTIONAL RESEARCH VESSELS"
121,"MYSTICETE (WCNE) - INSTITUTIONAL RESEARCH VESSELS"
122,"AUK (SBNMS) - INSTITUTIONAL RESEARCH VESSELS"
123,"HUGH SHARP (UDEL) - INSTITUTIONAL RESEARCH VESSELS"
124,"JUNET (NEA) - INSTITUTIONAL RESEARCH VESSELS"
125,"MARINDIN (UMASS-BOSTON) - INSTITUTIONAL RESEARCH VESSELS"
126,"MISC. NEAQ CHARTER - INSTITUTIONAL RESEARCH VESSELS"
127,"MISC./UNKNOWN WHOI - INSTITUTIONAL RESEARCH VESSELS"
128,"OCEAN EXPLORER - INSTITUTIONAL RESEARCH VESSELS"
129,"OCEAN RESEARCHER - INSTITUTIONAL RESEARCH VESSELS"
130,"USNS BARTLETT - OTHER RESEARCH VESSELS"
131,"MARLIN - OTHER RESEARCH VESSELS"
132,"ABEL J - OTHER RESEARCH VESSELS"
133,"NAVAHO - OTHER RESEARCH VESSELS"
134,"ESPERANZA (GREENPEACE) - OTHER RESEARCH VESSELS"
135,"AQUAMONITOR (MWRA/BATELLE) - OTHER RESEARCH VESSELS"
136,"SELKIE (RHIB) - INSTITUTIONAL RESEARCH VESSELS"
137,"EASTERLY - INSTITUTIONAL RESEARCH VESSELS"
139,"MISC./OTHER - OTHER RESEARCH VESSELS"
150,"REGINA MARIS - SAILING RESEARCH VESSELS"
151,"WESTWARD - SAILING RESEARCH VESSELS"
152,"SIRIUS - SAILING RESEARCH VESSELS"
153,"CORWITH CRAMER - SAILING RESEARCH VESSELS"
154,"BALAENA (HAL WHITEHEAD’S) - SAILING RESEARCH VESSELS"
155,"SEDNA IV - SAILING RESEARCH VESSELS"
156,"ROSITA - SAILING RESEARCH VESSELS"
157,"SPIRIT OF MASSACHUSETTS - SAILING RESEARCH VESSELS"
170,"MISS OCEAN CITY - WHALE/BIRD WATCH VESSELS"
171,"DOLPHIN FLEET - WHALE/BIRD WATCH VESSELS"
173,"VIKING QUEEN - WHALE/BIRD WATCH VESSELS"
174,"VIKING STARSHIP  - WHALE/BIRD WATCH VESSELS"
175,"SUPER SQUIRREL II  - WHALE/BIRD WATCH VESSELS"
176,"VOYAGER - WHALE/BIRD WATCH VESSELS"
177,"FINBACK - WHALE/BIRD WATCH VESSELS"
178,"CETACEAN QUEST - WHALE/BIRD WATCH VESSELS"
179,"FRANCES FLEET - WHALE/BIRD WATCH VESSELS"
180,"MISS CAPE ANN - WHALE/BIRD WATCH VESSELS"
