"Value","SPECNAME","SPECCHAR","SPECNUM","Type","TAXCODE","typical_max_group","typical_max_calf"
"ABDU","American Black Duck (Anas rubripes)","__","__","BIR","",,
"AC-J","Subsonic aircraft","__","__","HUMAN/DEBRI","",,
"AC-P","Propeller aircraft","__","__","HUMAN/DEBRI","",,
"AC-S","Supersonic aircraft","__","__","HUMAN/DEBRI","",,
"AC-T","Turboprop aircraft","__","__","HUMAN/DEBRI","",,
"AMAL","American Alligator (Alligator mississippiensis)","__","__","NARWC",9,,
"ANSH","Angel Shark (Squatina dumerili)","__","__","NARWC",6,,
"ARTE","Arctic Tern (Sterna paradisaea)","__","__","BIR","",,
"ASDO","Atlantic Spotted Dolphin (Stenella frontalis)","__","__","NARWC",3,,
"ATBR","Atlantic Brant (Branta bernicla)","__","__","BIR","",,
"ATPU","Atlantic (Common) Puffin (Fratercula arctica)","__","__","BIR","",,
"AUSH","Audubons Shearwater (Puffinus lherminieri)","__","__","BIR","",,
"BASH","Basking Shark (Cetorhinus maximus)","YK",90,"NARWC",6,,
"BBPL","Black-bellied Plover (Pluvialis squatarola)","__","__","BIR","",,
"BCPE","Black-capped Petrel (Pterodroma hasitata)","__","__","BIR","",,
"BELU","Beluga (Delphinapterus leucas)","FA",39,"NARWC",3,,
"BESE","Bearded Seal (Erignathus barbatus)","__","__","NARWC",4,,
"BEWH","Beaked Whale (Mesoplodon sp?)","EC",35,"NARWC",2,,
"BFTU","Bluefin Tuna (Thunnus thynnus)","__","__","NARWC",7,,
"BHGU","Common Black-headed Gull (Larus ridibundus)","__","__","BIR","",,
"BLBW","Blainvilles Beaked Whale (Mesoplodon densirostris)","__","__","NARWC",2,,
"BLFI","Bluefish (Pomatomus saltatrix)","__","__","NARWC",7,,
"BLGU","Black Guillemot (Cepphus grylle)","__","__","BIR","",,
"BLKI","Black-legged Kittiwake (Rissa tridactyla)","__","__","BIR","",,
"BLSC","Black Scoter (Melanitta nigra)","__","__","BIR","",,
"BLSH","Blue Shark (Prionace glauca)","YL",91,"NARWC",6,,
"BLTE","Black Tern (Chlidonias niger)","__","__","BIR","",,
"BLWH","Blue Whale (Balaenoptera musculus)","CE",17,"NARWC",1,,
"BODO","Bottlenose Dolphin (Tursiops truncatus)","HE",54,"NARWC",3,,
"BOGU","Bonapartes Gull (Larus philadelphia)","__","__","BIR","",,
"BOWH","Bowhead Whale (Balaena mysticetus)","__","__","NARWC",1,,
"BRNO","Brown Noddy (Anous minutus)","__","__","BIR","",,
"BRPE","Brown Pelican (Pelecanus occidentalis)","__","__","BIR","",,
"BRTE","Bridled Tern (Sterna anaethetus)","__","__","BIR","",,
"BRWH","Brydes Whale (Balaenoptera brydei)","CH",20,"NARWC",1,,
"BSTP","Band-rumped Storm Petrel (Oceanodroma castro)","__","__","BIR","",,
"BT-H","Heavy boat traffic","__","__","HUMAN/DEBRI","",,
"BT-L","Light boat traffic","__","__","HUMAN/DEBRI","",,
"BT-M","Moderate boat traffic","__","__","HUMAN/DEBRI","",,
"BUFF","Bufflehead (Bucephala albeola)","__","__","BIR","",,
"CABL","Cable/pipe laying","__","__","HUMAN/DEBRI","",,
"CAGO","Canada Goose (Branta canadensis)","__","__","BIR","",,
"CATE","Caspian Tern (Sterna caspica)","__","__","BIR","",,
"CDRA","Chilean Devil Ray (Mobula tarapacana)","","","NARWC",7,,
"CG-B","Coast Guard, buoy tender","__","__","HUMAN/DEBRI","",,
"CG-C","Coast Guard, cutter","__","__","HUMAN/DEBRI","",,
"CG-S","Coast Guard, security patrol boat","__","__","HUMAN/DEBRI","",,
"CG-U","Coast Guard, utility boat","__","__","HUMAN/DEBRI","",,
"CLDO","Clymene Dolphin (Stenella clymene)","KC",66,"NARWC",3,,
"CNRA","Cow-Nosed Ray (Rhinoptera bonasus)","__","__","NARWC",7,,
"COEI","Common Eider (Somateria mollissima)","__","__","BIR","",,
"COLO","Common Loon (Gavia immer)","__","__","BIR","",,
"COMU","Common Murre (Uria aalge)","__","__","BIR","",,
"COSH","Corys Shearwater (Calonectris diomedea)","__","__","BIR","",,
"COTE","Common Tern (Sterna hirundo)","__","__","BIR","",,
"CRSH","Cruise ship","__","__","HUMAN/DEBRI","",,
"DCCO","Double-crested Cormorant (Phalacrocorax auritus)","__","__","BIR","",,
"DE-B","Debris/pollution, balloon(s)","__","__","HUMAN/DEBRI","",,
"DE-F","Debris/pollution, flotsam (natural origin)","__","__","HUMAN/DEBRI","",,
"DE-G","Debris/pollution, loose/ghost fishing gear","__","__","HUMAN/DEBRI","",,
"DE-J","Debris/pollution, jetsam (human origin)","__","__","HUMAN/DEBRI","",,
"DE-O","Debris/pollution, oil slick or sheen","__","__","HUMAN/DEBRI","",,
"DE-P","Debris/pollution, plastic","__","__","HUMAN/DEBRI","",,
"DE-R","Debris/pollution, rope/line","__","__","HUMAN/DEBRI","",,
"DE-S","Debris/pollution, Sargassum/seaweed patches or lines","__","__","HUMAN/DEBRI","",,
"DE-U","Debris/pollution, unspecified/other","__","__","HUMAN/DEBRI","",,
"DE-W","Debris/pollution, wood","__","__","HUMAN/DEBRI","",,
"DIVE","Diver(s)","__","__","HUMAN/DEBRI","",,
"DOVE","Dovekie (Alle alle)","__","__","BIR","",,
"DOWI","Dowitcher sp. (Limnodromus sp.)","__","__","BIR","",,
"DR-D","Dredge, dumping","__","__","HUMAN/DEBRI","",,
"DR-T","Dredge, in transit","__","__","HUMAN/DEBRI","",,
"DR-U","Dredge, unspecified","__","__","HUMAN/DEBRI","",,
"DR-W","Dredge, in operation","__","__","HUMAN/DEBRI","",,
"DSWH","Dwarf Sperm Whale (Kogia sima)","__","__","NARWC",3,,
"DU-G","Garbage dumping","__","__","HUMAN/DEBRI","",,
"DU-T","Toxic waste dumping","__","__","HUMAN/DEBRI","",,
"DUSH","Dusky Shark (Carcharhinus obscurus)","__","__","NARWC",6,,
"EXPL","Explosive discharge","__","__","HUMAN/DEBRI","",,
"FE-H","Ferry, high-speed","__","__","HUMAN/DEBRI","",,
"FE-S","Ferry, standard type","__","__","HUMAN/DEBRI","",,
"FE-U","Ferry, unspecified","__","__","HUMAN/DEBRI","",,
"FG-A","Fixed fishing gear, aquaculture pens or facilities","__","__","HUMAN/DEBRI","",,
"FG-C","Fixed fishing gear, crab pot","__","__","HUMAN/DEBRI","",,
"FG-D","Fixed fishing gear, drift net","__","__","HUMAN/DEBRI","",,
"FG-G","Fixed fishing gear, sink gill net","__","__","HUMAN/DEBRI","",,
"FG-I","Fixed fishing gear, inshore lobster","__","__","HUMAN/DEBRI","",,
"FG-L","Fixed fishing gear, pelagic long line","__","__","HUMAN/DEBRI","",,
"FG-O","Fixed fishing gear, offshore lobster","__","__","HUMAN/DEBRI","",,
"FG-U","Fixed fishing gear, unspecified type","__","__","HUMAN/DEBRI","",,
"FIWH","Fin Whale (Balaenoptera physalus)","CF",18,"NARWC",1,,
"FKWH","False Killer Whale (Pseudorca crassidens)","DF",27,"NARWC",3,,
"FLFI","Flying Fish (Exocoetidae)","__","__","NARWC",7,,
"FOTE","Forsters Tern (Sterna forsteri)","__","__","BIR","",,
"FRDO","Frasers Dolphin (Lagenodelphis hosei)","HF",55,"NARWC",3,,
"FRNT","Front/visible water-mass boundary","__","__","HUMAN/DEBRI","",,
"FV-C","Fishing vessel, lobster/crab/other pot/trap fishery","__","__","HUMAN/DEBRI","",,
"FV-D","Fishing vessel, drift-netter","__","__","HUMAN/DEBRI","",,
"FV-F","Fishing vessel, unspecified/unknown fixed-gear","__","__","HUMAN/DEBRI","",,
"FV-G","Fishing vessel, gill-netter","__","__","HUMAN/DEBRI","",,
"FV-H","Fishing vessel, party (head) boat","__","__","HUMAN/DEBRI","",,
"FV-L","Fishing vessel, long-liner","__","__","HUMAN/DEBRI","",,
"FV-P","Fishing vessel, purse-seiner","__","__","HUMAN/DEBRI","",,
"FV-S","Fishing vessel, shrimper","__","__","HUMAN/DEBRI","",,
"FV-T","Fishing vessel, trawler/dragger","__","__","HUMAN/DEBRI","",,
"FV-U","Fishing vessel, unspecified type","__","__","HUMAN/DEBRI","",,
"FV-W","Fishing vessel, whale-watching","__","__","HUMAN/DEBRI","",,
"FV-Z","Fishing vessel, factory trawler","__","__","HUMAN/DEBRI","",,
"GBBG","Great Black-backed Gull (Larus marinus)","__","__","BIR","",,
"GEBW","Gervais Beaked Whale (Mesoplodon europaeus)","__","__","NARWC",2,,
"GHSH","Great Hammerhead Shark (Sphyrna mokarran)","","","NARWC",6,,
"GLGU","Glaucous Gull (Larus hyperboreus)","__","__","BIR","",,
"GOBW","Cuviers Beaked Whale (Ziphius cavirostris)","ED",36,"NARWC",2,,
"GRAM","Rissos Dolphin (Grampus griseus)","FD",42,"NARWC",3,,
"GRCO","Great Cormorant (Phalacrocorax carbo)","__","__","BIR","",,
"GRSC","Greater Scaup (Athya marila)?","__","__","BIR","",,
"GRSE","Gray Seal (Halichoerus grypus)","__","__","NARWC",4,,
"GRSH","Greater Shearwater (Puffinus gravis)","__","__","BIR","",,
"GRSK","Great Skua (Catharacta skua)","__","__","BIR","",,
"GRTU","Green Turtle (Chelonia mydas)","VD",76,"NARWC",5,,
"GRWH","Gray Whale (Eschrichtius robustus)","__","__","NARWC",1,,
"HAPO","Harbor Porpoise (Phocoena phocoena)","FC",41,"NARWC",3,,
"HASE","Harbor Seal (Phoca vitulina)","__","__","NARWC",4,,
"HATU","Hawksbill Turtle (Eretmochelys imbricata)","VF",78,"NARWC",5,,
"HELO","Helicopter","__","__","HUMAN/DEBRI","",,
"HERG","Herring Gull (Larus argentatus)","__","__","BIR","",,
"HGSE","Harp or Gray Seal","__","__","NARWC",4,,
"HHSH","Hammerhead Shark (Sphyrna sp?)","YJ",89,"NARWC",6,,
"HOGR","Horned Grebe (Podiceps auritus)","__","__","BIR","",,
"HOSE","Hooded Seal (Cystophora cristata)","__","__","NARWC",4,,
"HPSE","Harp Seal (Pagophilus groenlandicus)","__","__","NARWC",4,,
"HUWH","Humpback Whale (Megaptera novaeangliae)","BG",11,"NARWC",1,,
"ICGU","Iceland Gull (Larus glaucoides)","__","__","BIR","",,
"JELL","Jellyfish","__","__","NARWC",9,,
"JETS","Personal watercraft (jet-ski)","__","__","HUMAN/DEBRI","",,
"KAYK","Kayak, canoe, rowboat","__","__","HUMAN/DEBRI","",,
"KIWH","Killer Whale (Orcinus orca)","DG",28,"NARWC",2,,
"LAGU","Laughing Gull (Larus atricilla)","__","__","BIR","",,
"LBBG","Lesser Black-backed Gull (Larus fuscus)","__","__","BIR","",,
"LE-V","Law enforcement/Security patrol vessel","__","__","HUMAN/DEBRI","",,
"LESP","Leachs Storm-Petrel (Oceanodroma leucorhoa)","__","__","BIR","",,
"LETE","Least Tern (Sterna antillarum)","__","__","BIR","",,
"LETU","Leatherback Turtle (Dermochelys coriacea)","UB",71,"NARWC",5,,
"LFPW","Long-finned Pilot Whale (Globicephala melas)","DJ",31,"NARWC",3,,
"LIGU","Little Gull (Larus minutus)","__","__","BIR","",,
"LMJE","Lions-Mane Jellyfish (Cyanea capillata)","__","__","NARWC",9,,
"LMSH","Long-finned Mako Shark (Isurus paucus)","","","NARWC",6,,
"LOTU","Loggerhead Turtle (Caretta caretta)","UC",72,"NARWC",5,,
"LTDU","Long-tailed Duck (Clangula hyemalis)","__","__","BIR","",,
"LTJA","Long-tailed Jaeger (Stercoraria longicauda)","__","__","BIR","",,
"MABO","Masked Booby (Sula dactylata)","__","__","BIR","",,
