"Value","Description"
1,"0 - 1/4 NAUTICAL MILE (Left)"
2,"0 - 1/4 NAUTICAL MILE (Right)"
3,"0 - 1/8 NAUTICAL MILE (Left)"
4,"0 - 1/8 NAUTICAL MILE (Right)"
5,"1/8 - 1/4 NAUTICAL MILE (Left)"
6,"1/8 - 1/4 NAUTICAL MILE (Right)"
7,"1/4 - 1/2 NAUTICAL MILE (Left)"
8,"1/4 - 1/2 NAUTICAL MILE (Right)"
9,"1/2 - 3/4 NAUTICAL MILE (Left)"
10,"1/2 - 3/4 NAUTICAL MILE (Right)"
11,"3/4 - 1 NAUTICAL MILE (Left)"
12,"3/4 - 1 NAUTICAL MILE (Right)"
13,">1 (AT-11) NAUTICAL MILE (Left); 1 - 2 (SKYMASTER) NAUTICAL MILE (Left)"
14,">1 (AT-11) NAUTICAL MILE (Right); 1 - 2 (SKYMASTER) NAUTICAL MILE (Right)"
15,">2 (SKYMASTER) NAUTICAL MILE (Left)"
16,">2 (SKYMASTER) NAUTICAL MILE (Right)"
