CSV Split Summary
=================

Date: 28-Jun-2026 23:44:38
Input file: data/legacy/original_csv/RUSS_24_VALID.CSV
Output directory: data/legacy/surveys/pending

Total surveys: 12578
Total rows: 11651703
Average rows per survey: 926
Time elapsed: 341.3 minutes

Survey file row counts:
-----------------------
905169G: 1 rows
A179016: 83 rows
A179017: 56 rows
A179019: 58 rows
A179023: 104 rows
A179024: 32 rows
A179034: 63 rows
A179035: 95 rows
A179043: 62 rows
A180036: 12 rows
A180037: 87 rows
A180040: 22 rows
A180042: 92 rows
A180044: 67 rows
A180045: 37 rows
A180051: 119 rows
A180052: 52 rows
A180055: 84 rows
A180064: 17 rows
A180067: 47 rows
A180070: 120 rows
A180077: 22 rows
A180079: 49 rows
A180084: 183 rows
A180086: 20 rows
A180088: 83 rows
A180089: 66 rows
A180093: 149 rows
A180094: 74 rows
A181115: 96 rows
A181117: 133 rows
A181118: 88 rows
A181128: 135 rows
A181129: 33 rows
A181130: 147 rows
A181131: 137 rows
A181134: 92 rows
A181138: 122 rows
A181139: 174 rows
A181141: 36 rows
A181152: 150 rows
A181153: 56 rows
A181159: 222 rows
A181163: 295 rows
A181164: 56 rows
A181169: 50 rows
A184146: 144 rows
A184174: 130 rows
A187044: 74 rows
A187045: 236 rows
A187050: 235 rows
A187055: 114 rows
A187061: 245 rows
A187127: 376 rows
A187146: 561 rows
A187152: 423 rows
A187158: 475 rows
A187162: 90 rows
A187170: 65 rows
A187188: 187 rows
A187243: 95 rows
A187245: 51 rows
A187246: 358 rows
A187247: 6 rows
A187248: 88 rows
A187254: 116 rows
A187255: 359 rows
A187256: 247 rows
A187258: 319 rows
A187259: 329 rows
A188113: 79 rows
A188117: 392 rows
A188125: 96 rows
A188126: 381 rows
A188136: 1437 rows
A188163: 1173 rows
A189116: 1124 rows
A189129: 1313 rows
A189170: 1401 rows
A189181: 1680 rows
A189311: 1094 rows
A189312: 656 rows
A189314: 81 rows
A189315: 1010 rows
A189317: 817 rows
A189318: 1080 rows
A190009: 1001 rows
A190010: 1264 rows
A190011: 867 rows
A190014: 1278 rows
A190089: 546 rows
A190090: 777 rows
A190091: 469 rows
A190092: 1191 rows
A190095: 1150 rows
A190340: 1261 rows
A190341: 512 rows
A190343: 180 rows
A190344: 1118 rows
A190345: 1399 rows
A191014: 743 rows
A191015: 894 rows
A191018: 1101 rows
A191027: 1176 rows
A191065: 1277 rows
A191067: 643 rows
A191070: 785 rows
A191071: 1184 rows
A191074: 1062 rows
A191079: 1327 rows
A191080: 1522 rows
A191081: 346 rows
A191084: 572 rows
A191116: 1418 rows
A191129: 1328 rows
A191158: 1277 rows
A191340: 73 rows
A191341: 184 rows
A191342: 130 rows
A191343: 63 rows
A191346: 104 rows
A191347: 58 rows
A191351: 39 rows
A191352: 57 rows
A191354: 81 rows
A192027: 72 rows
A192030: 262 rows
A192033: 39 rows
A192034: 132 rows
A192035: 103 rows
A192036: 19 rows
A192040: 75 rows
A192043: 92 rows
A192045: 144 rows
A192141: 1260 rows
A192150: 1804 rows
A192196: 1213 rows
A193153: 1475 rows
A193183: 1325 rows
A279054: 77 rows
A279058: 83 rows
A279059: 84 rows
A279060: 124 rows
