Value,Description
10,"CENTER FOR COASTAL STUDIES (F Type)"
11,"FLORIDA WILDLIFE RES. INST. (EWS-SOUTH) (F Type)"
12,"WILDLIFE TRUST/ECOHEALTH ALLIANCE (GA,	EWS-NORTH) (F Type)"
13,"WILDLIFE TRUST/ECOHEALTH ALLIANCE (SC, WAS EAST COAST ECOSYSTEMS) (F Type)"
14,"NMFS NORTHEAST (SAS) (F Type)"
15,"OPEN [WAS NMFS NORTHEAST—PSB] (F Type)"
16,"NEW ENGLAND AQUARIUM (EWS-CENTRAL) (F Type)"
17,"UNIV. OF NORTH CAROLINA-WILMINGTON WAS SOUTHEAST OFFSHORE (F Type)"
18,"RIVERHEAD FOUNDATION (F Type)"
19,"OTHER (F Type)"
50,"CENTER FOR COASTAL STUDIES (P Type)"
51,"NEW ENGLAND AQUARIUM (FUNDY) (P Type)"
52,"NEW ENGLAND AQUARIUM (ROSEWAY) (P Type)"
53,"WAS EAST COAST ECOSYSTEMS (P Type)"
54,"WAS EAST COAST ECOSYSTEMS (P Type)"
55,"WAS EAST COAST ECOSYSTEMS (P Type)"
53,"NEW ENGLAND AQUARIUM (GSC) (P Type)"
54,"OTHER BAY OF FUNDY (WHALEWATCHERS) (P Type)"
55,"NMFS NORTHEAST (P Type)"
56,"NMFS SOUTHEAST (P Type)"
57,"WHALE CENTER OF NEW ENGLAND (P Type)"
58,"GULF OF ST. LAWRENCE (WHALEWATCHERS) (P Type)"
59,"OTHER (P Type)"
