Value,Description
AMN,"AMERICAN MUSEUM OF NATURAL HISTORY"
AMP,"AMAPPS (Atlantic Marine Assessement Program for Protected Species)"
BWS,"BLANDFORD WHALING STATION"
CAM,"Charles A. Mayo"
CAT,"RIGHT WHALE PHOTOID CATALOG"
CCS,"CENTER FOR COASTAL STUDIES"
CET,"CETAP"
CHS,"Cape Hatteras National Park Service"
COE,"U.S. ARMY CORPS OF ENGINEERS"
COM,"Coastal Maine"
CRE,"COASTAL RESEACH & EDUCATION SOCIETY OF LONG ISLAND (CRESLI)"
CRS,"C. Robert Shoop"
CWI,"Canadian Whale Institute"
DFO,"DEPT. OF FISHERIES & OCEANS (CANADA)"
EDM,"Edward M. Mitchell"
EWS,"EARLY WARNING SURVEY (SOUTHEAST)"
GMI,"GEO-MARINE, INC."
GSC,"GREAT SOUTH CHANNEL SURVEY"
GWO,"Guy W. Oliver, III"
HEH,"Herbert E. Hayes"
HEW,"Howard E. Winn"
JGM,"James G. Mead"
JPR,"J. Perran Ross"
MAQ,"MYSTIC AQUARIUM"
MBO,"MANOMET BIRD OBSERVATORY"
MCE,"MASSACHUSETTS CLEAN ENERGY CENTER"
MNM,"Northeast Canyons and Seamounts Marine National Monument"
MRW,"Minimum right Whale Count"
NEA,"NEW ENGLAND AQUARIUM"
NNE,"NMFS, NORTHEAST"
NSE,"NMFS, SOUTHEAST"
OGB,"Ollie G. Brazier"
OTH,"OTHER (MISCELLANEOUS)"
PIR,"PROGRAMME INTÉGRÉ DE RECHERCHES SUR LES OISEAUX PÉLAGIQUES (PIROP)"
POP,"POP Observers"
PSB,"NMFS PROTECTED SPECIES BRANCH"
RAR,"Richard A. Rowlett"
RWC,"RIGHT WHALE CONSORTIUM "
RXP,"Robert Prescott"
SAS,"SIGHTINGS ADVISORY SYSTEM (NORTHEAST)"
SCO,"SCOPEX"
SEA,"SEA EDUCATION ASSOCIATION"
SKK,"Steven K. Katona"
SRW,"MMS SOUTHEAST RIGHT WHALE PROJECT"
SSS,"SAM SADOVE, OKEANOS	"
SWF,"Sea Watch Foundation (U.K.)"
TAG,"Tagged whale locations (from NARWC catalog)"
TXA,"Thomas A. Azarovitz"
UCG,"U.S. COAST GUARD"
URI,"UNIVERSITY OF RHODE ISLAND"
USN,"U.S. NAVY"
WAW,"William A. Watkins"
WHO,"WOODS HOLE OCEANOGRAPHIC INST."
